cod_tienda,sales_surface_sqmeters,ventas_valor_per_store,Channel,revenue_per_sqmeter,cluster_labels,cluster_id
91,1900,172049.36,Supermarkets,90.5522947368,cluster_1,1
20,100,30362.7,Supermarkets,303.627,cluster_1,1
94,500,102720.49,Supermarkets,205.44098,cluster_1,1
148,700,228916.21,Supermarkets,327.0231571429,cluster_1,1
171,1000,603116.73,Supermarkets,603.11673,cluster_1,1
138,300,164928.1,Supermarkets,549.7603333333,cluster_1,1
274,800,56904.62,Supermarkets,71.130775,cluster_1,1
184,500,52482.59,Supermarkets,104.96518,cluster_1,1
125,2700,1427269.16,Hipermarkets,528.6182074074,cluster_1,1
64,300,174073.88,Supermarkets,580.2462666667,cluster_1,1
300,500,63857.65,Supermarkets,127.7153,cluster_1,1
216,3300,144225.57,Hipermarkets,43.7047181818,cluster_1,1
213,500,215691.91,Supermarkets,431.38382,cluster_1,1
26,800,189762.7,Supermarkets,237.203375,cluster_1,1
205,700,202970.41,Supermarkets,289.9577285714,cluster_1,1
209,800,112066.37,Supermarkets,140.0829625,cluster_1,1
262,500,46922.87,Supermarkets,93.84574,cluster_1,1
235,900,219392.76,Supermarkets,243.7697333333,cluster_1,1
219,800,185194.06,Supermarkets,231.492575,cluster_1,1
67,500,109664.36,Supermarkets,219.32872,cluster_1,1
71,1200,352850.05,Supermarkets,294.0417083333,cluster_1,1
108,1800,867936.6,Supermarkets,482.187,cluster_1,1
150,1400,591840.01,Supermarkets,422.7428642857,cluster_1,1
39,2300,484718.54,Supermarkets,210.7471913043,cluster_1,1
170,2300,534196.84,Supermarkets,232.2594956522,cluster_1,1
82,1800,552624.19,Supermarkets,307.0134388889,cluster_1,1
77,1800,899963.46,Supermarkets,499.9797,cluster_1,1
263,1600,664223.39,Supermarkets,415.13961875,cluster_1,1
179,1400,841561.05,Supermarkets,601.1150357143,cluster_1,1
291,1300,123505.95,Supermarkets,95.0045769231,cluster_1,1
142,1600,326498.04,Supermarkets,204.061275,cluster_1,1
281,3500,103331.66,Hipermarkets,29.5233314286,cluster_1,1
106,900,19873.11,Supermarkets,22.0812333333,cluster_1,1
295,1500,145321.25,Supermarkets,96.8808333333,cluster_1,1
88,1500,389931.6,Supermarkets,259.9544,cluster_1,1
69,1400,439472.48,Supermarkets,313.9089142857,cluster_1,1
54,700,143367.2,Supermarkets,204.8102857143,cluster_1,1
199,2000,168483.18,Supermarkets,84.24159,cluster_1,1
146,600,93309.42,Supermarkets,155.5157,cluster_1,1
169,3400,339455.78,Hipermarkets,99.8399352941,cluster_1,1
14,500,126949.28,Supermarkets,253.89856,cluster_1,1
24,12000,2988480.06,Hipermarkets,249.040005,cluster_0,0
74,1500,447716.53,Supermarkets,298.4776866667,cluster_1,1
270,1400,225006.73,Supermarkets,160.7190928571,cluster_1,1
48,1600,361154.69,Supermarkets,225.72168125,cluster_1,1
114,800,103605.45,Supermarkets,129.5068125,cluster_1,1
278,1900,385149.87,Supermarkets,202.7104578947,cluster_1,1
230,1300,234012.24,Supermarkets,180.0094153846,cluster_1,1
221,1600,210001.56,Supermarkets,131.250975,cluster_1,1
272,11300,1332276.57,Hipermarkets,117.9005814159,cluster_0,0
259,8600,684651.35,Hipermarkets,79.610622093,cluster_0,0
297,12900,1525498.29,Hipermarkets,118.2556813953,cluster_0,0
21,11600,602091.84,Hipermarkets,51.9044689655,cluster_0,0
50,10500,3330611.33,Hipermarkets,317.2010790476,cluster_0,0
43,17100,1896822.09,Hipermarkets,110.9252684211,cluster_outliers,-1
192,1100,345412.31,Supermarkets,314.0111909091,cluster_1,1
194,2900,1210111.5,Hipermarkets,417.2798275862,cluster_1,1
158,12500,1865860.03,Hipermarkets,149.2688024,cluster_0,0
226,10400,2971195.28,Hipermarkets,285.6918538462,cluster_0,0
102,2300,562687.47,Supermarkets,244.646726087,cluster_1,1
229,2000,1029066.73,Supermarkets,514.533365,cluster_1,1
60,900,211170.53,Supermarkets,234.6339222222,cluster_1,1
233,300,53625.34,Supermarkets,178.7511333333,cluster_1,1
173,10200,1946860.0,Hipermarkets,190.868627451,cluster_0,0
225,4800,1807439.42,Hipermarkets,376.5498791667,cluster_1,1
78,1600,25446.76,Supermarkets,15.904225,cluster_1,1
136,1500,541591.14,Supermarkets,361.06076,cluster_1,1
193,1400,241573.7,Supermarkets,172.5526428571,cluster_1,1
264,9500,2401329.6,Hipermarkets,252.7715368421,cluster_0,0
276,12800,2646423.84,Hipermarkets,206.7518625,cluster_0,0
155,10000,2344544.08,Hipermarkets,234.454408,cluster_0,0
107,700,240715.45,Supermarkets,343.8792142857,cluster_1,1
204,7900,115176.04,Hipermarkets,14.5792455696,cluster_0,0
137,3500,779486.45,Hipermarkets,222.7104142857,cluster_1,1
152,3400,1192808.59,Hipermarkets,350.8260558824,cluster_1,1
252,800,154595.73,Supermarkets,193.2446625,cluster_1,1
83,800,226537.95,Supermarkets,283.1724375,cluster_1,1
12,1100,488871.16,Supermarkets,444.4283272727,cluster_1,1
110,10800,3282015.2,Hipermarkets,303.8902962963,cluster_0,0
285,9800,2043946.66,Hipermarkets,208.5659857143,cluster_0,0
282,11500,3547979.26,Hipermarkets,308.5199356522,cluster_0,0
246,8300,1917981.87,Hipermarkets,231.082153012,cluster_0,0
35,9900,2540930.33,Hipermarkets,256.6596292929,cluster_0,0
196,11400,4362526.85,Hipermarkets,382.6777938596,cluster_0,0
42,8700,4140876.76,Hipermarkets,475.962845977,cluster_0,0
176,1500,212797.5,Supermarkets,141.865,cluster_1,1
238,600,27895.54,Supermarkets,46.4925666667,cluster_1,1
11,200,3423.8,Supermarkets,17.119,cluster_1,1
248,1600,39156.53,Supermarkets,24.47283125,cluster_1,1
76,600,30335.59,Supermarkets,50.5593166667,cluster_1,1
239,1200,560641.16,Supermarkets,467.2009666667,cluster_1,1
29,2400,533581.73,Supermarkets,222.3257208333,cluster_1,1
296,800,243251.49,Supermarkets,304.0643625,cluster_1,1
254,300,39277.4,Supermarkets,130.9246666667,cluster_1,1
47,500,101442.43,Supermarkets,202.88486,cluster_1,1
7,500,20017.8,Supermarkets,40.0356,cluster_1,1
