cod_tienda,ventas_valor_per_store,Channel,revenue_per_sqmeter,Provincia_x,Sectors,Provincia_y,Income,cluster_labels,cluster_id
126,267568.64,Supermarkets,334.4608,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,The Socials,1
127,2377.03,Supermarkets,4.75406,La Coruña,Industrial,La Coruña,12841,Traditional Store,3
128,164926.85,Supermarkets,549.7561666667,Area Metropolitana de Madrid,Metropolis,Madrid,15579,The Socials,1
129,18.24,Supermarkets,0.0456,Huelva,Primary Sector,Huelva,10112,Suburban Stores,0
130,24607.45,Supermarkets,35.1535,Caceres,Primary Sector,Caceres,10660,Suburban Stores,0
131,454119.98,Hipermarkets,133.5647,Pontevedra,Industrial,Pontevedra,11881,Traditional Store,3
132,26529.48,Supermarkets,37.8992571429,Zaragoza,Industrial,Zaragoza,13637,Traditional Store,3
133,211787.09,Supermarkets,302.5529857143,Zaragoza,Industrial,Zaragoza,13637,Traditional Store,3
134,110273.39,Supermarkets,157.5334142857,Murcia,Industrial,Murcia,10574,Suburban Stores,0
135,13447.36,Supermarkets,19.2105142857,Valladolid,Industrial,Valladolid,13490,Traditional Store,3
136,541591.14,Supermarkets,361.06076,Murcia,Industrial,Murcia,10574,For the tourists,2
137,779486.45,Hipermarkets,222.7104142857,Murcia,Industrial,Murcia,10574,Suburban Stores,0
138,164928.1,Supermarkets,549.7603333333,Madrid,Metropolis,Madrid,15579,The Socials,1
139,125588.93,Supermarkets,418.6297666667,La Rioja,Industrial,La Rioja,12738,For the tourists,2
141,5187.05,Supermarkets,8.6450833333,Asturias,Industrial,Asturias,13505,Traditional Store,3
142,326498.04,Supermarkets,204.061275,Murcia,Industrial,Murcia,10574,Suburban Stores,0
143,197310.83,Supermarkets,493.277075,Valencia,Industrial,Valencia,12333,For the tourists,2
144,490155.32,Supermarkets,196.062128,La Coruña,Industrial,La Coruña,12841,Traditional Store,3
145,15108.06,Supermarkets,9.4425375,Granada,Industrial,Granada,10463,Suburban Stores,0
146,93309.42,Supermarkets,155.5157,Guipuzkoa,Industrial,Guipuzkoa,16399,Smaller Metropolis,5
147,20012.99,Supermarkets,50.032475,La Coruña,Industrial,La Coruña,12841,Traditional Store,3
148,228916.21,Supermarkets,327.0231571429,Area Metropolitana de Barcelona,Metropolis,Barcelona,14676,The Socials,1
149,2968311.13,Hipermarkets,285.4145317308,Sevilla,Industrial,Sevilla,10717,For the tourists,2
150,591840.01,Supermarkets,422.7428642857,Alicante,touristic,Alicante,14962,The Socials,1
151,1.45,Supermarkets,0.0018125,Baleares,touristic,Baleares,12486,Slow stores,4
152,1192808.59,Hipermarkets,350.8260558824,Guipuzkoa,Industrial,Guipuzkoa,16399,The Socials,1
153,10.03,Supermarkets,0.0167166667,Area Metropolitana de Madrid,Metropolis,Madrid,15579,Smaller Metropolis,5
